Gender,DOB,Degree,Specialization,collegeGPA,GraduationYear,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
f,1992-01-14,MCA,computer application,80.0,2014,0.335,0.0924,-0.6582,-0.4821,-0.1543,120000
m,1986-11-03,B.Tech/B.E.,information technology,63.0,2011,-0.880999999999999,0.6568,0.672,1.4724,0.3444,430000
m,1988-08-05,B.Tech/B.E.,electronics and communication engineering,70.0,2011,-0.4173,-1.3713,0.9042,1.5578,0.3444,120000
f,1991-04-10,B.Tech/B.E.,computer engineering,55.5,2012,1.1336,-0.2871,-0.1437,0.1459,0.2889,120000
f,1990-03-09,B.Tech/B.E.,computer science & engineering,75.0,2012,-0.159,-0.2871,-0.9122,-0.6147,-0.6692,120000
m,1992-05-04,B.Tech/B.E.,information technology,61.0,2013,-2.0262,-1.9521,-2.6028,0.0192,-2.5853,600000
m,1988-12-20,B.Tech/B.E.,computer engineering,73.34,2010,-1.4992,0.5008,0.2366,0.6498,0.6603,500000
m,1990-03-10,B.Tech/B.E.,mechanical engineering,73.0,2014,1.7081,-0.1206,0.01,-1.7556,0.2889,240000
m,1989-09-17,B.Tech/B.E.,electronics and communication engineering,76.5,2012,-0.159,-0.7866,-0.7585,0.1459,-2.0105,200000
m,1992-05-01,B.Tech/B.E.,information technology,64.29,2011,0.0464,0.3448,-0.344,-0.1727,-0.1295,80000
m,1992-02-26,B.Tech/B.E.,computer science & engineering,76.7,2013,1.7081,0.8784,1.7007,0.1459,0.8637,330000
f,1990-04-04,B.Tech/B.E.,information technology,71.0,2013,-0.7335,0.0459,0.6248,-0.6147,0.2889,450000
m,1990-06-18,MCA,computer application,77.5,2014,0.5591,0.3789,0.6248,0.3995,-1.0524,240000
m,1991-09-01,B.Tech/B.E.,electronics and communication engineering,81.0,2013,0.99,0.2124,0.6248,0.2727,-1.0524,325000
m,1991-06-26,B.Tech/B.E.,computer science and technology,60.34,2012,-0.5899,-0.6201,0.4711,-0.3612,-0.2859,215000
m,1991-12-22,B.Tech/B.E.,information technology,75.0,2013,0.1282,-1.9521,-0.6048,0.653,0.6721,315000
m,1992-05-03,B.Tech/B.E.,computer science & engineering,60.0,2014,0.5591,1.0449,0.3174,-0.2344,0.6721,220000
m,1991-12-08,B.Tech/B.E.,computer science & engineering,75.0,2014,-0.3027,-0.4536,-2.4491,1.0333,-0.2859,180000
m,1988-01-01,MCA,computer application,85.0,2012,-1.4992,-1.3713,-0.6343,0.1798,-1.1169,240000
m,1990-09-21,B.Tech/B.E.,information technology,74.0,2013,-1.5953,-0.1206,0.3174,0.2727,-1.4356,60000
m,1991-12-08,B.Tech/B.E.,computer engineering,71.0,2012,1.1283,0.6568,-0.344,-0.7603,-0.4455,165000
m,1986-09-27,MCA,computer application,63.0,2013,0.2009,-0.7473,0.3817,0.5323,0.3444,180000
m,1991-11-14,MCA,computer application,69.7,2014,-0.4463,-1.1196,0.01,0.5262,-0.0943,150000
m,1988-10-07,B.Tech/B.E.,electronics and communication engineering,72.45,2010,0.8192,0.3448,1.1074,-0.1727,1.4502,370000
m,1991-08-21,B.Tech/B.E.,electrical engineering,66.0,2013,-0.5719,0.8351,0.2477,-0.6428,-0.4455,145000
m,1991-02-09,B.Tech/B.E.,automobile/automotive engineering,76.5,2013,-0.3027,1.5444,0.3174,1.5404,0.8637,100000
m,1984-11-19,MCA,computer application,72.02,2010,0.0464,0.2668,-1.7954,-0.6428,-1.2354,300000
m,1990-07-30,B.Tech/B.E.,information technology,73.0,2014,0.2718,-0.1206,0.3174,-1.8824,-0.4776,240000
m,1990-09-10,B.Tech/B.E.,electronics and electrical engineering,64.0,2012,0.7419,0.8128,-1.6502,-0.8778,-0.2875,500000
m,1990-04-14,B.Tech/B.E.,electronics and communication engineering,75.0,2012,-0.2628,-0.5913,-0.1988,1.2374,-0.168999999999999,300000
m,1990-07-12,B.Tech/B.E.,computer science & engineering,67.72,2014,-0.3027,-0.7866,-1.527,1.9207,-1.6273,300000
m,1990-03-02,B.Tech/B.E.,electronics and electrical engineering,60.4,2011,-0.5719,-0.2793,0.672,-0.6428,-0.2875,510000
f,1993-10-14,B.Tech/B.E.,information technology,83.0,2014,-0.7335,0.0459,-0.1437,1.0333,-0.8608,150000
m,1993-02-24,B.Tech/B.E.,information technology,60.62,2014,-0.3027,0.2124,1.0859,1.1601,-0.4776,240000
m,1990-07-02,B.Tech/B.E.,electronics and communication engineering,64.45,2012,-2.272,0.2668,-0.9245,1.0024,0.6603,145000
m,1991-06-03,B.Tech/B.E.,computer science & engineering,68.74,2012,0.51,1.1248,-0.7794,-0.2609,-0.6035,240000
m,1990-10-07,B.Tech/B.E.,computer science & engineering,82.0,2013,0.7027,-1.1196,-0.1437,0.3995,0.2889,310000
m,1991-07-26,B.Tech/B.E.,computer engineering,65.55,2012,-3.6631,-2.1513,0.0914,1.32552999999999,-1.2354,450000
m,1987-05-20,MCA,computer application,76.0,2010,-1.8083,-0.5913,-0.9245,-0.0552,0.3444,380000
f,1992-03-20,B.Tech/B.E.,electronics and communication engineering,80.2,2014,-0.159,1.2114,0.4711,-1.6289,0.0973,300000
m,1992-06-01,B.Tech/B.E.,computer engineering,73.21,2013,0.1282,0.8784,0.6248,-0.3612,-0.6692,300000
m,1992-07-22,B.Tech/B.E.,electronics and communication engineering,77.72,2013,1.7081,0.7119,0.6248,-1.3753,0.6721,200000
m,1992-02-09,B.Tech/B.E.,electronics and communication engineering,63.3,2014,-0.3027,1.0449,1.3933,0.1459,0.8637,170000
f,1991-09-23,B.Tech/B.E.,computer science & engineering,81.4,2013,0.2718,0.3789,0.6248,-1.3753,-0.6692,95000
m,1989-12-15,B.Tech/B.E.,computer science & engineering,72.04,2012,0.5591,1.0449,-0.1437,-0.6147,-0.8608,335000
m,1991-11-14,B.Tech/B.E.,computer science & engineering,72.0,2013,-1.5953,0.5454,-0.7585,0.5262,-0.6692,110000
m,1990-03-04,B.Tech/B.E.,electronics and communication engineering,83.2,2011,0.6646,1.1248,1.5428,-0.4078,0.3444,450000
f,1991-06-22,B.Tech/B.E.,computer science & engineering,68.69,2013,0.8463,0.0459,1.7007,-0.4879,0.0973,200000
m,1993-07-26,B.Tech/B.E.,computer science & engineering,67.0,2014,-1.1644,1.2114,0.4711,-0.1076,-0.6692,310000
m,1991-02-25,B.Tech/B.E.,mechanical engineering,65.42,2012,1.4374,1.1248,1.2525,0.53233,0.4234,200000
m,1990-12-22,B.Tech/B.E.,information science engineering,57.0,2013,-1.4517,-2.1186,-0.6048,0.9066,-1.6273,240000
f,1991-05-24,B.Tech/B.E.,computer engineering,69.55,2012,0.51,1.4368,-0.0537,-1.34787,0.8973,300000
m,1992-01-08,B.Tech/B.E.,mechanical engineering,87.2,2013,-0.3027,-0.2871,0.01,0.0192,-0.6692,75000
m,1989-02-26,B.Tech/B.E.,computer engineering,64.3,2011,-0.4173,-1.8393,-0.344,1.1199,0.1864,330000
m,1993-02-14,B.Tech/B.E.,information technology,65.0,2014,-1.308,-1.1196,0.4711,0.0192,0.6721,140000
m,1992-10-18,B.Tech/B.E.,computer science & engineering,70.06,2014,0.2718,0.0459,-1.0659,-2.136,-1.244,320000
m,1986-10-27,B.Tech/B.E.,mechanical engineering,64.0,2010,0.2009,-0.9033,0.3817,0.2973,0.3444,1210000
m,1992-08-10,B.Tech/B.E.,chemical engineering,79.65,2014,-0.7335,1.5444,-0.1437,-2.136,0.6721,700000
m,1989-08-17,B.Tech/B.E.,computer science & engineering,71.97,2012,0.8192,0.5008,0.2366,-0.05527,0.6603,120000
m,1991-02-28,B.Tech/B.E.,information technology,69.2,2014,-0.0154,-0.2871,0.3174,0.1459,0.0973,200000
m,1989-04-10,B.Tech/B.E.,computer engineering,71.07,2011,0.0464,-0.1232,-0.4891,0.2973,0.9763,315000
m,1990-11-14,B.Tech/B.E.,electronics and electrical engineering,70.0,2013,-0.0154,1.0449,0.4711,1.0333,1.0554,305000
m,1992-08-01,B.Tech/B.E.,electronics and communication engineering,68.56,2013,-2.272,0.0328,-0.2714,1.1199,-0.4455,335000
m,1989-03-03,B.Tech/B.E.,electronics and communication engineering,70.1,2011,-1.9629,0.8128,0.2366,0.6498,0.0284,410000
f,1991-01-24,B.Tech/B.E.,computer science & engineering,76.24,2013,0.5591,0.5454,1.7007,-2.0092,1.247,200000
m,1991-06-20,B.Tech/B.E.,electronics and communication engineering,68.2,2013,-0.159,0.8784,0.4711,0.2727,0.6721,315000
m,1992-02-18,B.Tech/B.E.,computer science & engineering,63.2,2013,-0.159,-0.2871,0.4711,0.2727,-0.4776,120000
f,1990-05-31,B.Tech/B.E.,electronics and communication engineering,83.0,2012,1.1283,1.1248,-0.344,-0.407769999999999,0.8973,310000
m,1990-10-15,B.Tech/B.E.,electronics and electrical engineering,72.3,2013,0.8463,-0.4536,0.3174,-0.995,0.0973,375000
m,1992-06-03,B.Tech/B.E.,instrumentation engineering,66.93,2014,0.2718,0.3789,0.4711,-0.2344,0.4805,240000
m,1990-12-19,B.Tech/B.E.,computer science & engineering,63.0,2013,1.8517,0.8784,1.547,-0.2344,0.4805,295000
m,1990-04-08,B.Tech/B.E.,mechanical engineering,61.0,2012,-1.4992,-1.2153,-0.9245,-0.5253,-1.8278,360000
f,1987-02-26,B.Tech/B.E.,electronics and communication engineering,61.8,2010,0.3555,0.6568,0.9623,0.6498,0.5024,260000
m,1992-07-05,B.Tech/B.E.,computer science & engineering,70.68,2014,-0.7335,-0.1206,0.7785,0.653,0.0973,180000
m,1990-12-23,B.Tech/B.E.,computer science & engineering,75.03,2013,-1.4517,-0.6201,-1.8344,-0.1076,0.6721,100000
f,1993-08-10,B.Tech/B.E.,computer science & engineering,71.1,2014,1.2772,1.5444,1.8543,1.0333,1.247,160000
m,1983-10-23,MCA,computer application,79.0,2010,-0.4173,-0.1232,-0.0537,-0.4078,-0.1295,310000
m,1991-06-28,B.Tech/B.E.,electronics and communication engineering,68.9,2013,-0.5899,-2.2851,-0.7585,0.0192,-2.5853,80000
m,1991-07-17,B.Tech/B.E.,computer science & engineering,81.5,2014,1.4208,1.2114,0.3174,-1.5021,0.2889,325000
f,1990-11-12,B.Tech/B.E.,information technology,70.95,2012,-0.4173,0.1888,0.5269,-1.1422,0.0284,400000
m,1991-06-28,B.Tech/B.E.,mechanical engineering,82.53,2013,0.8463,0.0459,0.7785,-1.8824,0.4805,475000
m,1993-05-28,B.Tech/B.E.,information technology,69.8,2014,1.4208,-0.1206,0.4711,-1.3753,1.6302,180000
f,1991-02-02,B.Tech/B.E.,electronics and communication engineering,77.25,2012,1.0896,1.5928,0.672,-1.05407,0.1864,250000
m,1992-06-20,MCA,computer application,72.0,2015,1.1336,0.3789,-0.1437,-0.8682,-0.4776,150000
m,1987-06-12,MCA,computer application,85.2,2010,0.6646,0.3448,-1.0697,0.2973,-0.9194,100000
m,1992-05-16,B.Tech/B.E.,information technology,61.86,2014,-0.0154,-0.6201,-0.2974,0.7798,-1.8189,300000
m,1989-08-16,B.Tech/B.E.,information technology,55.6,2010,-2.8903,1.2808,0.8171,-0.8778,0.3444,465000
m,1990-07-10,B.Tech/B.E.,electronics and communication engineering,61.0,2013,-1.1901,0.1888,-1.5051,-1.34787,-0.7615,200000
m,1993-03-16,B.Tech/B.E.,computer science and technology,63.0,2014,-1.7389,-1.2861,-1.3733,-0.6147,-0.4776,360000
m,1989-09-16,B.Tech/B.E.,electronics and communication engineering,77.0,2011,-0.5719,-1.0593,-0.1988,1.1199,1.1343,400000
m,1988-08-04,B.Tech/B.E.,electronics and communication engineering,68.4,2010,0.8192,0.5008,0.3817,-0.0552,-0.2875,720000
m,1987-08-26,B.Tech/B.E.,information technology,73.06,2010,0.51,1.7488,0.2366,-1.2303,0.9763,505000
f,1990-01-16,B.Tech/B.E.,computer engineering,68.0,2011,-0.880999999999999,0.5008,0.9623,-0.7603,-0.1295,380000
f,1992-03-07,B.Tech/B.E.,computer science & engineering,69.78,2013,0.5591,0.2124,-0.4511,-1.3753,0.6721,375000
m,1988-11-05,B.Tech/B.E.,electronics and communication engineering,67.45,2010,-3.0448,-1.0593,-0.6343,0.7673,0.1864,290000
m,1990-03-09,B.Tech/B.E.,computer science & engineering,68.0,2013,0.4155,1.0449,1.3933,-0.4879,-0.0943,350000
m,1985-07-20,MCA,computer application,59.0,2010,0.2009,-0.2793,0.2366,1.4724,0.0284,100000
m,1991-09-03,MCA,computer application,77.7,2014,0.1282,1.0449,-0.2974,-0.995,0.4805,230000
m,1989-03-23,B.Tech/B.E.,information technology,65.48,2011,0.6646,-0.1232,1.5428,0.0623,0.3444,315000
m,1992-08-25,B.Tech/B.E.,electronics and communication engineering,86.0,2014,0.8463,0.8784,-0.1437,-0.7415,-1.0524,615000
m,1991-04-12,B.Tech/B.E.,computer science & engineering,65.7,2013,1.4208,1.2114,1.2396,-1.1218,1.247,200000
m,1992-09-21,B.Tech/B.E.,information technology,62.44,2014,-1.4517,-1.2861,-0.1437,1.1601,-1.4356,180000
m,1992-12-04,B.Tech/B.E.,mechanical engineering,63.0,2014,1.8517,-0.2871,1.0859,1.6672,-0.2859,260000
m,1988-03-25,B.Tech/B.E.,information technology,80.0,2010,1.2828,1.1248,-0.6343,-1.3478,1.1343,1110000
m,1988-06-25,B.Tech/B.E.,electronics and electrical engineering,64.5,2011,-1.8083,-0.2793,-0.6343,0.0623,-0.1295,170000
m,1991-11-05,B.Tech/B.E.,information technology,80.0,2013,-0.159,0.8784,1.0859,-0.995,1.0554,180000
m,1993-02-01,B.Tech/B.E.,electronics and communication engineering,72.7,2014,1.1336,0.5454,0.01,-2.0092,0.8637,340000
m,1988-12-20,B.Tech/B.E.,computer engineering,66.0,2010,-1.0355,0.5008,-0.0537,1.4724,1.4502,145000
m,1993-03-18,B.Tech/B.E.,information technology,65.06,2014,0.4155,-0.6504,0.3034,0.653,-0.4392,120000
f,1989-07-25,B.Tech/B.E.,electronics and communication engineering,76.0,2011,0.3555,0.9688,0.3817,-1.3478,0.1864,180000
m,1990-04-22,B.Tech/B.E.,electronics and communication engineering,72.5,2014,1.5644,1.5444,1.8543,-0.3612,0.0973,325000
m,1987-03-24,B.Tech/B.E.,mechanical engineering,72.02,2012,-0.5899,0.5454,0.3174,-0.7415,-0.8608,95000
m,1993-11-07,B.Tech/B.E.,mechanical engineering,83.5,2013,-1.8083,-1.9953,-2.521,1.0747,-2.0253,205000
f,1991-10-09,B.Tech/B.E.,computer science & engineering,64.66,2013,0.99,1.2114,1.2396,-2.643,1.6302,280000
m,1990-11-04,B.Tech/B.E.,computer engineering,61.36,2014,1.7081,1.0449,1.547,0.0192,0.6721,215000
m,1991-08-11,B.Tech/B.E.,electronics and communication engineering,83.62,2013,0.8463,1.2114,0.1637,-0.7415,1.0554,200000
m,1990-03-31,B.Tech/B.E.,computer science & engineering,67.8,2011,-0.159,0.2124,-1.0659,-0.4879,0.2889,350000
m,1990-10-07,B.Tech/B.E.,computer engineering,63.33,2012,-0.2628,-0.4353,1.2525,0.0623,-0.9194,190000
m,1990-04-05,B.Tech/B.E.,information technology,68.1,2011,-1.0355,0.8128,-1.2148,1.0024,1.6082,520000
m,1987-07-10,B.Tech/B.E.,electronics and communication engineering,53.0,2010,1.1283,-0.4353,0.3817,0.1798,0.5024,335000
m,1990-05-20,B.Tech/B.E.,computer engineering,64.0,2012,-1.1128,-1.3713,-0.344,1.1492,-2.6572,220000
m,1990-03-15,B.Tech/B.E.,electronics & instrumentation eng,67.23,2011,-1.9629,-1.9953,-1.6502,0.6498,-1.2354,450000
m,1989-12-01,B.Tech/B.E.,electronics and communication engineering,68.3,2011,0.0464,0.3448,0.9623,-0.2902,0.5024,445000
m,1993-05-20,B.Tech/B.E.,information technology,69.96,2014,-0.159,-0.4536,0.9322,-0.2344,-0.6692,200000
m,1991-03-25,B.Tech/B.E.,electronics and communication engineering,87.9,2013,-3.0315,-2.1186,-1.0659,0.3995,-1.6273,420000
m,1993-06-17,B.Tech/B.E.,computer science & engineering,74.0,2014,1.9953,1.0449,0.4711,-1.6289,0.8637,100000
m,1990-01-22,B.Tech/B.E.,information technology,58.66,2012,0.0464,0.9688,-0.1988,-0.7015,-1.2354,120000
m,1992-09-04,B.Tech/B.E.,electronics & telecommunications,70.0,2014,-2.1698,-4.2831,-1.8344,-0.4879,-5.0763,315000
f,1990-01-18,B.Tech/B.E.,computer engineering,70.0,2011,-0.2628,0.1888,0.3817,-0.2902,1.6082,480000
m,1992-06-29,B.Tech/B.E.,computer science & engineering,62.0,2013,0.99,0.3789,-0.2974,-1.1218,-1.244,145000
m,1990-09-27,B.Tech/B.E.,information technology,74.5,2012,-0.4173,0.7348,-0.0537,-0.52527,-0.4455,450000
f,1990-10-24,B.Tech/B.E.,electronics and communication engineering,76.0,2012,-0.5719,-0.1232,0.3817,-0.5253,0.5419,235000
m,1992-01-05,B.Tech/B.E.,electronics and communication engineering,76.4,2014,0.7027,0.2124,-0.2974,0.3995,1.0554,330000
m,1988-10-30,B.Tech/B.E.,information technology,80.0,2012,-0.1082,0.3448,-0.9245,-0.7603,-0.7615,320000
m,1989-06-15,B.Tech/B.E.,computer engineering,70.13,2011,0.51,0.8128,1.2525,0.8848,0.5024,715000
m,1990-09-09,M.Tech./M.E.,computer science & engineering,88.0,2015,0.4155,-0.4536,-1.8344,-0.8682,-0.0943,145000
m,1990-09-20,B.Tech/B.E.,electronics and electrical engineering,79.2,2012,-1.0208,0.3789,0.6248,-1.6289,-0.2859,180000
f,1990-08-06,B.Tech/B.E.,computer engineering,72.18,2012,0.51,0.0328,-0.7794,-0.2902,0.7788,180000
m,1992-06-27,B.Tech/B.E.,information technology,69.0,2014,0.99,1.0449,0.6248,-0.8682,-1.6273,75000
f,1989-10-09,B.Tech/B.E.,computer engineering,71.2,2012,-1.4606,-1.0593,-0.344,1.1492,-2.3412,280000
f,1989-08-24,B.Tech/B.E.,computer engineering,73.0,2011,0.51,1.1248,0.5269,-0.7603,0.6603,390000
m,1992-06-28,B.Tech/B.E.,mechanical engineering,71.0,2013,0.99,0.8784,0.6248,-1.5021,0.6721,325000
m,1992-06-07,B.Tech/B.E.,electronics and communication engineering,84.0,2013,0.99,0.5454,0.7785,-1.6289,0.6721,300000
f,1992-04-05,B.Tech/B.E.,computer science & engineering,74.0,2014,0.2718,0.8784,-1.6807,1.0333,0.6721,450000
m,1992-12-17,B.Tech/B.E.,information technology,77.0,2014,0.9737,1.4368,0.5994,-0.2902,0.3444,505000
m,1992-06-18,B.Tech/B.E.,electronics and communication engineering,75.0,2013,-0.4463,-1.9521,-0.4511,-0.4879,-1.4356,240000
m,1989-11-14,MCA,computer application,73.14,2013,-0.8772,-0.6201,-0.4511,0.653,-0.4776,240000
m,1988-12-12,B.Tech/B.E.,information technology,71.0,2010,-1.0355,-0.1232,0.2366,-0.6428,-0.6035,200000
m,1993-02-28,B.Tech/B.E.,computer science & engineering,73.38,2014,0.5591,-0.4536,-0.6048,-0.6147,-0.0943,450000
m,1990-08-18,B.Tech/B.E.,electronics and communication engineering,77.7,2012,-0.5719,1.5928,0.5269,-0.1727,0.1864,335000
f,1989-01-23,B.Tech/B.E.,computer engineering,73.14,2011,0.51,0.5008,0.672,-0.43717,0.3444,310000
f,1987-04-20,B.Tech/B.E.,biotechnology,71.0,2011,0.51,0.5008,0.672,0.0623,0.6603,450000
m,1986-05-29,B.Tech/B.E.,information technology,72.13,2010,0.6646,0.3448,0.8171,0.6498,0.0284,600000
m,1991-09-27,B.Tech/B.E.,ceramic engineering,72.0,2014,0.5591,0.3789,-0.1437,-0.2344,0.6721,335000
m,1991-12-13,B.Tech/B.E.,electronics and communication engineering,70.45,2013,1.2772,1.2114,1.3933,-0.1076,0.8637,150000
m,1991-06-26,MCA,computer application,79.6,2014,-1.308,-0.2871,-0.2974,1.1601,-1.244,180000
m,1992-08-18,B.Tech/B.E.,information technology,61.6,2014,-0.4463,0.8784,0.4711,-2.136,0.6721,360000
m,1990-12-19,B.Tech/B.E.,computer engineering,74.9,2013,0.5591,0.3789,1.3933,-1.2486,-1.0524,180000
f,1990-10-24,B.Tech/B.E.,electronics and communication engineering,72.3,2013,0.4155,0.3789,1.2396,1.0333,-0.0943,180000
m,1991-10-08,B.Tech/B.E.,information technology,73.8,2013,0.1282,0.8784,-0.1437,-0.2344,0.2889,240000
m,1993-09-26,B.Tech/B.E.,computer science & engineering,79.95,2014,0.5591,1.0449,-0.6048,0.7798,-1.0524,350000
m,1988-02-29,B.Tech/B.E.,electronics and communication engineering,61.0,2010,-0.4173,-0.7473,-0.0537,0.2973,0.0284,400000
m,1993-08-21,B.Tech/B.E.,mechanical engineering,60.05,2015,-0.0154,-0.6201,-0.4511,0.1459,-1.244,150000
m,1992-05-27,B.Tech/B.E.,computer science & engineering,73.0,2015,-0.2632,0.8993,-0.4226,-0.3414,0.1275,150000
f,1990-10-12,B.Tech/B.E.,computer engineering,76.76,2012,1.2828,0.7348,0.0552,-0.0552,-0.9194,455000
m,1992-07-10,B.Tech/B.E.,electronics and communication engineering,84.1,2013,0.5591,0.7119,0.4711,-1.6289,0.6721,240000
m,1988-07-28,B.Tech/B.E.,electrical engineering,71.56,2011,0.51,0.3448,0.2075,0.9169,0.0284,350000
f,1991-06-03,B.Tech/B.E.,information technology,89.2,2012,0.0464,1.3198,-0.4891,-1.11277,-0.2875,385000
m,1990-07-23,B.Tech/B.E.,mechanical engineering,73.83,2012,1.2828,0.8128,0.0914,-0.8778,0.6603,440000
m,1991-09-28,MCA,computer application,86.0,2013,0.4155,-0.4536,0.9322,-0.995,-0.4776,380000
m,1989-09-09,B.Tech/B.E.,electronics and communication engineering,76.03,2012,1.4374,0.1498,-0.598,-1.58287,-0.7615,420000
f,1991-04-02,B.Tech/B.E.,electronics and communication engineering,77.33,2012,0.0464,0.9688,-0.1626,1.3549,-0.7615,360000
m,1990-11-30,B.Tech/B.E.,electronics and electrical engineering,70.6,2014,-0.5899,-0.7866,1.0859,-0.1076,-0.4776,320000
m,1989-11-16,B.Tech/B.E.,computer engineering,67.63,2012,-0.2628,1.5538,0.5994,-0.29027,0.3444,355000
m,1991-09-01,B.Tech/B.E.,computer science & engineering,57.5,2014,0.2718,0.2124,0.7785,1.9207,-0.6692,180000
m,1989-10-30,B.Tech/B.E.,electronics and electrical engineering,75.67,2011,-0.4173,0.1888,-0.344,-1.4653,-0.6035,490000
m,1987-07-15,MCA,computer application,69.7,2011,-2.272,-1.5273,-1.0697,0.7673,-0.4455,300000
m,1992-04-24,B.Tech/B.E.,information technology,69.9,2013,0.5591,1.0449,1.2396,0.3995,1.0554,2000000
m,1991-11-01,M.Tech./M.E.,computer science & engineering,80.0,2015,1.2772,0.0459,0.3174,-0.995,1.0554,120000
f,1987-03-06,B.Tech/B.E.,electrical engineering,69.97,2010,0.9737,1.2808,0.8171,-0.0552,1.4502,240000
m,1992-06-08,B.Tech/B.E.,computer science & engineering,70.0,2014,1.9953,1.0449,-0.1437,-2.3895,0.2889,325000
m,1993-01-23,B.Tech/B.E.,computer science & engineering,66.0,2014,-1.308,0.3789,-0.9122,0.2727,0.0973,100000
m,1988-12-22,B.Tech/B.E.,information technology,66.6,2012,-0.159,0.5454,0.3174,0.1459,-0.2859,180000
m,1993-03-12,B.Tech/B.E.,mechanical engineering,65.0,2015,-2.457,-0.7866,0.01,0.2727,-2.2021,250000
m,1992-09-11,B.Tech/B.E.,metallurgical engineering,73.0,2014,-2.7443,0.2124,-1.527,1.1601,-0.2859,300000
m,1991-11-20,B.Tech/B.E.,electronics & telecommunications,65.0,2013,0.2718,-0.9531,0.4711,-1.1218,-1.0524,220000
m,1993-08-17,B.Tech/B.E.,computer engineering,66.23,2015,-0.4463,1.2114,1.0859,-0.8682,0.4805,1500000
f,1988-01-11,B.Tech/B.E.,mechanical engineering,70.66,2011,0.6646,1.7488,0.2366,0.5323,0.6603,275000
m,1993-09-14,B.Tech/B.E.,computer science & engineering,72.3,2014,-1.308,-1.7856,-0.6048,1.0333,-2.5853,500000
m,1991-11-15,B.Tech/B.E.,electronics and communication engineering,61.9,2012,1.1336,1.0449,0.4711,-0.4879,0.2889,510000
m,1993-06-01,B.Tech/B.E.,mechanical engineering,63.0,2013,0.8463,0.2124,0.4711,-0.3612,-0.0943,185000
m,1990-09-13,B.Tech/B.E.,information technology,70.5,2012,0.0464,0.6178,-0.3803,-1.1128,0.1864,490000
m,1992-09-29,B.Tech/B.E.,electronics and communication engineering,91.0,2014,-0.159,0.5454,0.4711,-1.1218,-0.6692,300000
m,1992-01-14,B.Tech/B.E.,electronics and communication engineering,79.67,2013,0.51,0.8128,-1.0697,-0.4371,0.1864,410000
m,1991-01-24,B.Tech/B.E.,computer engineering,58.0,2012,-0.2628,0.0328,-0.2714,0.2973,-1.0774,225000
m,1988-03-08,M.Tech./M.E.,electronics and communication engineering,64.95,2013,1.4208,0.8784,-0.2974,0.7798,0.6721,100000
